Flipkart,http://c223968.r68.cf1.rackcdn.com/flipkart_store.png,LeEco Le 1s Eco (32 GB),9999,3761,http://img6a.flixcart.com/image/mobile/p/q/a/letv-le-1s-eco-na-400x400-imaegbxgxfnb6z3c.jpeg,http://www.flipkart.com/leeco-le-1s-eco/p/itmehw7t45yzkdhg?pid=MOBEHW7TE727ZPQA&al=tDFq6faapdl5fCKKVbCjvMldugMWZuE7Qdj0IGOOVquaCnHmNrB1psSN0cqH0AVxrBLaAXIuZn0%3D&ref=L%3A5622861816964532919&srno=p_2&findingMethod=Search&otracker=start
Flipkart,http://c223968.r68.cf1.rackcdn.com/flipkart_store.png,LeEco Le 1s (32 GB),10999,13969,http://img5a.flixcart.com/image/mobile/x/f/h/letv-le-1s-le-x507-400x400-imaeftkjgxz7zbfy.jpeg,http://www.flipkart.com/leeco-le-1s/p/itmehht5gyfrdrqz?pid=MOBEEHZ7SUXG3XFH&al=tDFq6faapdl5fCKKVbCjvMldugMWZuE7Qdj0IGOOVqvIACOGF40ZwiDSJk4q3I76GGuzKCGNFtI%3D&ref=L%3A5622861816964532919&srno=p_1&findingMethod=Search&otracker=start
Flipkart,http://c223968.r68.cf1.rackcdn.com/flipkart_store.png,LeEco Le 2 (32 GB),11999,,http://img6a.flixcart.com/image/mobile/2/e/2/leeco-le-2-le-x526-400x400-imaejgugzr8p4cgn.jpeg,http://www.flipkart.com/leeco-le-2/p/itmejeucxaxmnk8k?pid=MOBEJEUCS2Z4N2E2&al=tDFq6faapdl5fCKKVbCjvMldugMWZuE7Qdj0IGOOVqtY2PLXjfZX%2Fh7EezJzXZs4laqtCWZ1USc%3D&ref=L%3A5622861816964532919&srno=p_3&findingMethod=Search&otracker=start
Flipkart,http://c223968.r68.cf1.rackcdn.com/flipkart_store.png,LeEco Le Max2 (32 GB),22999,,http://img5a.flixcart.com/image/mobile/5/y/a/leeco-le-max2-na-400x400-imaejgug5vytpjbh.jpeg,http://www.flipkart.com/leeco-le-max2/p/itmek6fkjafgqpd5?pid=MOBEJFHUFVAJ45YA&al=tDFq6faapdl5fCKKVbCjvMldugMWZuE7Qdj0IGOOVqtALIBxA0a6%2B6UOTwTbFLwckoPlFTublsc%3D&ref=L%3A5622861816964532919&srno=p_4&findingMethod=Search&otracker=start
